index,reason,sl
73410,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_true;disp_avg_change>0.3;max_disp>0.6;min_disp>0.3,0
73421,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_1;down_strick_0;trend_len_long;trend_max_ampl<;trend_kind_up;prev_t_kind_down;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
73501,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change<;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp>0.3,1
73531,extreme_disp_moderate;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change>0.5;max_disp>0.6;min_disp<,0
73582,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,1
73589,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
73622,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;down_strick_3;down_strick_0;trend_len_middle;trend_max_ampl>0.01;trend_kind_up;prev_t_kind_up;max_disp_change<;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
73638,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.2;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp>0.2,0
73656,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_true;disp_avg_change>0.3;max_disp>0.6;min_disp>0.1,1
73659,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
73668,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5;max_disp>0.6;min_disp>0.1,0
73696,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
73766,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change>0.3;max_disp>0.6;min_disp<,0
73831,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.2;disp_monotone_up_false;disp_avg_change<;max_disp>0.4;min_disp<,1
73854,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,1
73866,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<;max_disp>0.6;min_disp<,0
